# Copyright (C) 2016  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Intel and sold by Intel or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus Prime Version 16.1.0 Build 196 10/24/2016 SJ Lite Edition
# File: C:\AlteraPrj\pipemultQP16_1\Schematic\pipemult12.csv
# Generated on: Sat May 30 20:58:34 2020

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
A[31],Input,IOBANK_6,6,,PIN_H22,3.3-V LVCMOS,,,,,
A[30],Input,IOBANK_8,8,,PIN_E11,3.3-V LVCMOS,,,,,
A[29],Input,IOBANK_8,8,,PIN_D7,3.3-V LVCMOS,,,,,
A[28],Input,IOBANK_8,8,,PIN_C8,3.3-V LVCMOS,,,,,
A[27],Input,IOBANK_8,8,,PIN_C2,3.3-V LVCMOS,,,,,
A[26],Input,IOBANK_8,8,,PIN_E10,3.3-V LVCMOS,,,,,
A[25],Input,IOBANK_8,8,,PIN_E6,3.3-V LVCMOS,,,,,
A[24],Input,IOBANK_8,8,,PIN_C7,3.3-V LVCMOS,,,,,
A[23],Input,IOBANK_8,8,,PIN_C3,3.3-V LVCMOS,,,,,
A[22],Input,IOBANK_8,8,,PIN_J10,3.3-V LVCMOS,,,,,
A[21],Input,IOBANK_8,8,,PIN_D6,3.3-V LVCMOS,,,,,
A[20],Input,IOBANK_8,8,,PIN_B7,3.3-V LVCMOS,,,,,
A[19],Input,IOBANK_8,8,,PIN_B1,3.3-V LVCMOS,,,,,
A[18],Input,IOBANK_8,8,,PIN_H11,3.3-V LVCMOS,,,,,
A[17],Input,IOBANK_8,8,,PIN_B2,3.3-V LVCMOS,,,,,
A[16],Input,IOBANK_8,8,,PIN_A6,3.3-V LVCMOS,,,,,
A[15],Input,IOBANK_8,8,,PIN_D5,3.3-V LVCMOS,,,,,
A[14],Input,IOBANK_8,8,,PIN_D8,3.3-V LVCMOS,,,,,
A[13],Input,IOBANK_8,8,,PIN_F7,3.3-V LVCMOS,,,,,
A[12],Input,IOBANK_8,8,,PIN_A5,3.3-V LVCMOS,,,,,
A[11],Input,IOBANK_8,8,,PIN_C5,3.3-V LVCMOS,,,,,
A[10],Input,IOBANK_8,8,,PIN_A4,3.3-V LVCMOS,,,,,
A[9],Input,IOBANK_8,8,,PIN_E8,3.3-V LVCMOS,,,,,
A[8],Input,IOBANK_8,8,,PIN_D10,3.3-V LVCMOS,,,,,
A[7],Input,IOBANK_8,8,,PIN_C4,3.3-V LVCMOS,,,,,
A[6],Input,IOBANK_8,8,,PIN_C6,3.3-V LVCMOS,,,,,
A[5],Input,IOBANK_8,8,,PIN_B4,3.3-V LVCMOS,,,,,
A[4],Input,IOBANK_8,8,,PIN_E9,3.3-V LVCMOS,,,,,
A[3],Input,IOBANK_8,8,,PIN_A2,3.3-V LVCMOS,,,,,
A[2],Input,IOBANK_8,8,,PIN_A3,3.3-V LVCMOS,,,,,
A[1],Input,IOBANK_8,8,,PIN_B5,3.3-V LVCMOS,,,,,
A[0],Input,IOBANK_8,8,,PIN_B3,3.3-V LVCMOS,,,,,
ALUout[15],Output,,,,PIN_E16,3.3-V LVCMOS,,,,,
ALUout[14],Output,,,,PIN_D17,3.3-V LVCMOS,,,,,
ALUout[13],Output,,,,PIN_E15,3.3-V LVCMOS,,,,,
ALUout[12],Output,,,,PIN_C17,3.3-V LVCMOS,,,,,
ALUout[11],Output,,,,PIN_H14,3.3-V LVCMOS,,,,,
ALUout[10],Output,,,,PIN_A15,3.3-V LVCMOS,,,,,
ALUout[9],Output,,,,PIN_J13,3.3-V LVCMOS,,,,,
ALUout[8],Output,,,,PIN_C14,3.3-V LVCMOS,,,,,
ALUout[7],Output,,,,PIN_A14,3.3-V LVCMOS,,,,,
ALUout[6],Output,,,,PIN_C13,3.3-V LVCMOS,,,,,
ALUout[5],Output,,,,PIN_B14,3.3-V LVCMOS,,,,,
ALUout[4],Output,,,,PIN_D14,3.3-V LVCMOS,,,,,
ALUout[3],Output,,,,PIN_E12,3.3-V LVCMOS,,,,,
ALUout[2],Output,,,,PIN_E13,3.3-V LVCMOS,,,,,
ALUout[1],Output,,,,PIN_D13,3.3-V LVCMOS,,,,,
ALUout[0],Output,,,,PIN_H12,3.3-V LVCMOS,,,,,
B[31],Input,,,,PIN_N15,3.3-V LVCMOS,,,,,
B[30],Input,,,,PIN_H21,3.3-V LVCMOS,,,,,
B[29],Input,,,,PIN_K14,3.3-V LVCMOS,,,,,
B[28],Input,,,,PIN_K22,3.3-V LVCMOS,,,,,
B[27],Input,,,,PIN_F18,3.3-V LVCMOS,,,,,
B[26],Input,,,,PIN_J22,3.3-V LVCMOS,,,,,
B[25],Input,,,,PIN_E19,3.3-V LVCMOS,,,,,
B[24],Input,,,,PIN_K21,3.3-V LVCMOS,,,,,
B[23],Input,,,,PIN_L20,3.3-V LVCMOS,,,,,
B[22],Input,,,,PIN_J21,3.3-V LVCMOS,,,,,
B[21],Input,,,,PIN_L18,3.3-V LVCMOS,,,,,
B[20],Input,,,,PIN_G20,3.3-V LVCMOS,,,,,
B[19],Input,,,,PIN_L19,3.3-V LVCMOS,,,,,
B[18],Input,,,,PIN_G22,3.3-V LVCMOS,,,,,
B[17],Input,,,,PIN_M18,3.3-V LVCMOS,,,,,
B[16],Input,,,,PIN_G19,3.3-V LVCMOS,,,,,
B[15],Input,,,,PIN_C21,3.3-V LVCMOS,,,,,
B[14],Input,,,,PIN_F22,3.3-V LVCMOS,,,,,
B[13],Input,,,,PIN_L15,3.3-V LVCMOS,,,,,
B[12],Input,,,,PIN_M15,3.3-V LVCMOS,,,,,
B[11],Input,,,,PIN_L14,3.3-V LVCMOS,,,,,
B[10],Input,,,,PIN_E22,3.3-V LVCMOS,,,,,
B[9],Input,,,,PIN_C22,3.3-V LVCMOS,,,,,
B[8],Input,,,,PIN_M14,3.3-V LVCMOS,,,,,
B[7],Input,,,,PIN_F20,3.3-V LVCMOS,,,,,
B[6],Input,,,,PIN_E21,3.3-V LVCMOS,,,,,
B[5],Input,,,,PIN_D22,3.3-V LVCMOS,,,,,
B[4],Input,,,,PIN_N18,3.3-V LVCMOS,,,,,
B[3],Input,,,,PIN_M20,3.3-V LVCMOS,,,,,
B[2],Input,,,,PIN_N19,3.3-V LVCMOS,,,,,
B[1],Input,,,,PIN_F21,3.3-V LVCMOS,,,,,
B[0],Input,,,,PIN_N20,3.3-V LVCMOS,,,,,
CCout[5],Output,,,,PIN_A7,3.3-V LVCMOS,,,,,
CCout[4],Output,,,,PIN_J11,3.3-V LVCMOS,,,,,
CCout[3],Output,,,,PIN_A8,3.3-V LVCMOS,,,,,
CCout[2],Output,,,,PIN_B10,3.3-V LVCMOS,,,,,
CCout[1],Output,,,,PIN_A9,3.3-V LVCMOS,,,,,
CCout[0],Output,,,,PIN_C9,3.3-V LVCMOS,,,,,
Cin,Input,IOBANK_3,3,,PIN_AA10,3.3-V LVCMOS,,,,,
clk1,Input,PIN_N14,6,B6_N0,PIN_N14,3.3-V LVCMOS,,2ma,,,
Cout,Output,IOBANK_3,3,,PIN_W5,3.3-V LVCMOS,,,,,
dataa[7],Input,,,,PIN_N22,3.3-V LVCMOS,,,,,
dataa[6],Input,,,,PIN_P14,3.3-V LVCMOS,,,,,
dataa[5],Input,,,,PIN_P21,3.3-V LVCMOS,,,,,
dataa[4],Input,,,,PIN_P15,3.3-V LVCMOS,,,,,
dataa[3],Input,,,,PIN_U22,3.3-V LVCMOS,,,,,
dataa[2],Input,,,,PIN_R22,3.3-V LVCMOS,,,,,
dataa[1],Input,,,,PIN_U21,3.3-V LVCMOS,,,,,
dataa[0],Input,,,,PIN_R20,3.3-V LVCMOS,,,,,
datab[7],Input,,,,PIN_M22,3.3-V LVCMOS,,,,,
datab[6],Input,,,,PIN_L22,3.3-V LVCMOS,,,,,
datab[5],Input,,,,PIN_N21,3.3-V LVCMOS,,,,,
datab[4],Input,,,,PIN_M21,3.3-V LVCMOS,,,,,
datab[3],Input,,,,PIN_P20,3.3-V LVCMOS,,,,,
datab[2],Input,,,,PIN_P18,3.3-V LVCMOS,,,,,
datab[1],Input,,,,PIN_P19,3.3-V LVCMOS,,,,,
datab[0],Input,,,,PIN_R18,3.3-V LVCMOS,,,,,
IR[1],Input,,,,PIN_C20,3.3-V LVCMOS,,,,,
IR[0],Input,,,,PIN_K15,3.3-V LVCMOS,,,,,
q[15],Output,,,,PIN_V13,3.3-V LVCMOS,,,,,
q[14],Output,,,,PIN_W12,3.3-V LVCMOS,,,,,
q[13],Output,,,,PIN_W14,3.3-V LVCMOS,,,,,
q[12],Output,,,,PIN_W13,3.3-V LVCMOS,,,,,
q[11],Output,,,,PIN_R13,3.3-V LVCMOS,,,,,
q[10],Output,,,,PIN_P13,3.3-V LVCMOS,,,,,
q[9],Output,,,,PIN_AB14,3.3-V LVCMOS,,,,,
q[8],Output,,,,PIN_Y13,3.3-V LVCMOS,,,,,
q[7],Output,,,,PIN_AA14,3.3-V LVCMOS,,,,,
q[6],Output,,,,PIN_Y14,3.3-V LVCMOS,,,,,
q[5],Output,,,,PIN_AB15,3.3-V LVCMOS,,,,,
q[4],Output,,,,PIN_V14,3.3-V LVCMOS,,,,,
q[3],Output,,,,PIN_AA15,3.3-V LVCMOS,,,,,
q[2],Output,,,,PIN_W15,3.3-V LVCMOS,,,,,
q[1],Output,,,,PIN_Y16,3.3-V LVCMOS,,,,,
q[0],Output,,,,PIN_U15,3.3-V LVCMOS,,,,,
rdaddress[4],Input,,,,PIN_T18,3.3-V LVCMOS,,,,,
rdaddress[3],Input,,,,PIN_T20,3.3-V LVCMOS,,,,,
rdaddress[2],Input,,,,PIN_T19,3.3-V LVCMOS,,,,,
rdaddress[1],Input,,,,PIN_T22,3.3-V LVCMOS,,,,,
rdaddress[0],Input,,,,PIN_R14,3.3-V LVCMOS,,,,,
reset_n,Input,PIN_D9,8,B8_N0,PIN_D9,3.3-V LVCMOS,,,,,
Sum[31],Output,,,,PIN_V4,3.3-V LVCMOS,,,,,
Sum[30],Output,,,,PIN_W6,3.3-V LVCMOS,,,,,
Sum[29],Output,,,,PIN_V5,3.3-V LVCMOS,,,,,
Sum[28],Output,,,,PIN_U6,3.3-V LVCMOS,,,,,
Sum[27],Output,,,,PIN_Y1,3.3-V LVCMOS,,,,,
Sum[26],Output,,,,PIN_U7,3.3-V LVCMOS,,,,,
Sum[25],Output,,,,PIN_Y2,3.3-V LVCMOS,,,,,
Sum[24],Output,,,,PIN_W4,3.3-V LVCMOS,,,,,
Sum[23],Output,,,,PIN_AA1,3.3-V LVCMOS,,,,,
Sum[22],Output,,,,PIN_W3,3.3-V LVCMOS,,,,,
Sum[21],Output,,,,PIN_AA2,3.3-V LVCMOS,,,,,
Sum[20],Output,,,,PIN_W7,3.3-V LVCMOS,,,,,
Sum[19],Output,,,,PIN_Y3,3.3-V LVCMOS,,,,,
Sum[18],Output,,,,PIN_W8,3.3-V LVCMOS,,,,,
Sum[17],Output,,,,PIN_Y4,3.3-V LVCMOS,,,,,
Sum[16],Output,,,,PIN_R10,3.3-V LVCMOS,,,,,
Sum[15],Output,,,,PIN_P10,3.3-V LVCMOS,,,,,
Sum[14],Output,,,,PIN_AB4,3.3-V LVCMOS,,,,,
Sum[13],Output,,,,PIN_AA6,3.3-V LVCMOS,,,,,
Sum[12],Output,,,,PIN_AA5,3.3-V LVCMOS,,,,,
Sum[11],Output,,,,PIN_AA7,3.3-V LVCMOS,,,,,
Sum[10],Output,,,,PIN_AB5,3.3-V LVCMOS,,,,,
Sum[9],Output,,,,PIN_V9,3.3-V LVCMOS,,,,,
Sum[8],Output,,,,PIN_AB6,3.3-V LVCMOS,,,,,
Sum[7],Output,,,,PIN_V10,3.3-V LVCMOS,,,,,
Sum[6],Output,,,,PIN_AB7,3.3-V LVCMOS,,,,,
Sum[5],Output,,,,PIN_R11,3.3-V LVCMOS,,,,,
Sum[4],Output,,,,PIN_AA8,3.3-V LVCMOS,,,,,
Sum[3],Output,,,,PIN_P11,3.3-V LVCMOS,,,,,
Sum[2],Output,,,,PIN_AB8,3.3-V LVCMOS,,,,,
Sum[1],Output,,,,PIN_Y10,3.3-V LVCMOS,,,,,
Sum[0],Output,,,,PIN_AA9,3.3-V LVCMOS,,,,,
wraddress[4],Input,,,,PIN_T21,3.3-V LVCMOS,,,,,
wraddress[3],Input,,,,PIN_R15,3.3-V LVCMOS,,,,,
wraddress[2],Input,,,,PIN_AA22,3.3-V LVCMOS,,,,,
wraddress[1],Input,,,,PIN_U17,3.3-V LVCMOS,,,,,
wraddress[0],Input,,,,PIN_AA21,3.3-V LVCMOS,,,,,
wren,Input,IOBANK_5,5,,PIN_U18,3.3-V LVCMOS,,,,,
